"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rpl30",1639.91038058385,7.57316759411576,0.272166156333574,777.399626244564,4.42463119489074e-171,6.25333126773908e-167
"LOC100362027",1841.09509131176,-7.12108669487012,0.33573098321777,323.159967551855,2.96894591060022e-72,2.09800562772565e-68
"Ndufa10l1",133.223199771541,8.71152878875064,1.09855023777091,155.826591662636,9.23764251879995e-36,4.35185339060665e-32
"Atp11b",319.475691628039,-3.18438021940996,0.245457070819273,155.049449587362,1.36580135912683e-35,4.82571765213487e-32
"Hexb",4079.76438476267,1.33777166957132,0.113395100443808,134.831362228447,3.59437119707232e-31,1.01598496256446e-27
"Mettl2b",217.059425750871,2.70590003647561,0.239151027496465,122.083086721616,2.21370404340525e-28,5.21437987424108e-25
"LOC689757",300.723051980126,-2.8472702507112,0.255703438627085,114.747178545195,8.93984831772577e-27,1.80495537534883e-23
"Hmgb2",869.194410853667,-3.01830803097101,0.272861638791465,107.323882702784,3.78051070838317e-25,6.67874473019742e-22
"Cers6",445.900962064502,-1.56647990553369,0.151597959399494,104.619597605856,1.4798585492012e-24,2.32387120842895e-21
"RT1-CE4",185.500686821863,2.33838230590347,0.22720882495604,103.069051610404,3.23667977849542e-24,4.57439953094758e-21
"Dkk3",3166.12693416016,2.91363420372861,0.269825467327269,101.34356101895,7.7336203918485e-24,9.9362960907268e-21
"Ahr",1838.5143730758,-1.44273507114357,0.145706293476233,94.578092158788,2.35611557771274e-22,2.77491512165118e-19
"Septin5",1486.42195740371,2.62314316304268,0.257170950268856,92.0878544827412,8.2912675201099e-22,9.01388337397794e-19
"RT1-CE3",255.135191222914,-2.35097396136697,0.240438062031976,90.2747189757708,2.07284341787241e-21,2.0925354303422e-18
"Enpp1",8660.68285157674,-1.44643789910074,0.150303963362836,88.967233147476,4.01406514261463e-21,3.78205217737151e-18
"Mrgprx3",52.4029397003338,-6.03780354115789,0.797362963236396,83.3424207674151,6.90028601459295e-20,6.09510889026513e-17
"Cd22",244.316358720474,-3.72542667188518,0.40270303833593,76.1811533982492,2.58799949432142e-18,2.15154099136733e-15
"Fabp3",249.796148447713,2.08016998136449,0.23435202624908,75.1870556065103,4.2816502114308e-18,3.36180902434175e-15
"LOC103690108",1749.0567142089,1.28297949880224,0.146357824088667,74.6218596042594,5.70084662011665e-18,4.24052975168992e-15
"LOC100364500",269.073535763335,-2.2386183785698,0.252662287947081,73.5701118815571,9.71242579870118e-18,6.86328569065219e-15
