"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sfrp1",973.204536966105,-3.67564299226462,0.18898937757065,332.838460897606,2.31512625574334e-74,3.28284903064405e-70
"Atp11b",378.268355407314,-2.84387218017787,0.196848708307701,196.814565636919,1.03512374161968e-44,7.33902732808353e-41
"Ndufa10l1",121.399729202393,10.3395826708176,1.22671807812163,193.363385599317,5.86421087558814e-44,2.77181700719466e-40
"Krt7",149.08707730207,6.17999376565635,0.577930543036667,155.166247564869,1.2878453408501e-35,4.56541173331362e-32
"Septin5",1310.41175849672,2.10602860530542,0.167336354140546,147.952756764044,4.85800849685621e-34,1.37773120970842e-30
"Rpl30",1981.76621372212,7.61294740504306,0.53332806535705,125.358419868835,4.24844887316003e-29,1.00405008369015e-25
"LOC306079",107.940886461392,6.75448160781475,0.717773387502311,115.966446232158,4.83406560719056e-27,9.79243575856602e-24
"Tspan11",139.18433334543,-3.69453622092844,0.346803817581818,108.145247177703,2.49785549272881e-25,4.42744886086182e-22
"Duox1",159.528193790352,-3.46325565994024,0.322714490425683,107.822272137456,2.9399396829626e-25,4.63203830048997e-22
"Col11a1",25737.9195073116,1.3861295773819,0.131427768449567,107.25584326622,3.91255360361742e-25,5.5480010099295e-22
"LOC102548695",51.0259156945469,7.3077791446632,1.12245221696699,86.7446201293878,1.23479246053486e-20,1.59175973548949e-17
"Fgfr3",1643.62002029189,1.45793024040648,0.156431129345405,83.8661711271317,5.29427560768711e-20,6.25606900975027e-17
"Angptl1",143.950364404992,3.75488761058146,0.398698622880738,82.4704046934688,1.07264231832599e-19,1.17000523645096e-16
"Ifitm3",4248.23204448433,-1.36672368481257,0.151093780052911,78.9583921045015,6.34319084563038e-19,6.42474615650277e-16
"Mettl2b",267.85157108517,2.63832624473512,0.287702817645092,77.2149373396946,1.5332950851314e-18,1.41141358807674e-15
"Sema3e",1622.09437569955,1.26395270731827,0.142034217694039,77.1400265508356,1.59256822349985e-18,1.41141358807674e-15
"Tnmd",207.070426914383,-3.58728170233725,0.386448401872222,76.6468508160115,2.04431802730344e-18,1.70520174277428e-15
"Casq2",449.234322131786,3.96700382870768,0.404961180901661,76.1394735803606,2.64320439618767e-18,2.08225768544118e-15
"LOC100362027",2236.53959177002,-7.71915532235627,0.670570087448256,75.6392831748456,3.40519116036712e-18,2.5413479291582e-15
"Hmgb2l1",1036.87327406993,3.0206899844586,0.329432846899005,72.9018363567815,1.36261330431328e-17,9.66092832758119e-15
"Alpl",605.66367351466,1.73674166169258,0.204104247466349,69.8137059593816,6.51784117344447e-17,4.40109465902108e-14
"Spopl",449.721536274453,-2.46040148182779,0.283521068037259,68.8870808175618,1.04265615135673e-16,6.72039283010839e-14
"RT1-CE3",186.32952760371,-3.08205344285345,0.354040583216384,67.7037423890273,1.90002557085015e-16,1.17140706933283e-13
"Prg4",507.361295703665,-5.96930767591367,0.61470282814981,67.415497818379,2.1991347011494e-16,1.29932208592911e-13
"Egfl6",776.923939088384,-2.55210047593074,0.294640456291153,66.7186018099776,3.13165940743622e-16,1.77627721589782e-13
"Gria2",47.1559911458341,4.77112043834375,0.6636579853164,60.8158034737008,6.26727779923317e-15,3.41807689204332e-12
"RGD1564247",40.2993694599569,5.90615067597867,0.879157353176761,60.2204222897498,8.4807696118622e-15,4.45397455911874e-12
"Cd55",851.815046389382,-3.10561681391336,0.373747695162378,59.2055644753603,1.42031638724467e-14,7.19288798968909e-12
"Il1rn",154.971920497686,-4.52578540575647,0.559723342478268,57.3582599852699,3.63234637362353e-14,1.77609212337868e-11
"Glul",2268.35793493196,-1.04628468648795,0.137504569119537,56.786390170671,4.85817042259915e-14,2.29629521974853e-11
"Twist2",338.139449402104,-2.4079985320715,0.308619851129571,56.1086067908167,6.85762609441519e-14,3.1368109038325e-11
"Ctsc",167.240151675775,-2.38703344519056,0.314109495102472,55.1041720334212,1.14308017145354e-13,5.06527400975349e-11
"LOC689757",276.704985394793,-2.81544158016832,0.356816926408051,54.9201436323157,1.25527845295754e-13,5.39389347361755e-11
"Map1b",1049.54809821972,1.71953980333851,0.227686074753414,54.0565670434232,1.94799961491602e-13,8.12430427632624e-11
"LOC100364500",199.323021631125,-2.57493880238425,0.336058711396232,53.9045132703136,2.10473673608545e-13,8.52719054791192e-11
"Duoxa1",126.778860673217,-2.56795495188572,0.342730133014121,53.060156062082,3.23488083230761e-13,1.27418361672561e-10
"Cpne8",303.932883802181,-1.40770368706759,0.191657717548601,52.8506992688231,3.59890517573394e-13,1.37925609167317e-10
"Tgfbr3",703.355636548077,-1.84142591036691,0.250217165010515,50.9283732225081,9.5798735068501e-13,3.57480542966143e-10
"RGD1564400",24.2590155206472,8.04585778113174,1.33373815438907,49.7744657960276,1.72474021605257e-12,6.17185618473938e-10
"Steap3",461.255094328389,-1.4347818809359,0.200337952139699,49.7560521755074,1.74100315507458e-12,6.17185618473938e-10
"Igfbp3",4633.611397219,-1.50222922606666,0.20794962024658,49.6353609135171,1.8514642955834e-12,6.40335700277382e-10
"Cd24",946.978728488461,2.98623177983188,0.394217501565819,49.4184345071203,2.06793266722017e-12,6.98173457647189e-10
"Matn3",227.78253095957,2.6455305646152,0.36682696641981,49.0733799094662,2.46563758342757e-12,8.13086998441928e-10
"Mfap5",945.064870488931,-1.70641146142664,0.240861216608647,47.3879388871515,5.82399316872113e-12,1.87691416210149e-09
"LOC100360940",88.1715560133172,4.7386891893888,0.638230416872996,46.8408242189739,7.69927382202571e-12,2.42612672880721e-09
"RT1-N2",59.7191208365438,-3.94971283866662,0.564831251004907,45.9769421742298,1.19653016821164e-11,3.68843430113936e-09
"Atp2b4",452.651993734334,1.42973108416233,0.208760857396708,45.5518150875706,1.48653864412683e-11,4.48491871781244e-09
"Ebf3",222.12778412341,-1.94685461119249,0.282644787082074,44.9609958261876,2.00998370027269e-11,5.9378268478889e-09
"Clec11a",3199.97445367892,1.36491701577384,0.199678749275056,44.7988148319099,2.18354820183277e-11,6.31892112285483e-09
"Rgl1",338.844965155259,-1.35609247872808,0.201381369605838,44.4146529640754,2.6569100700542e-11,7.53499695867371e-09
"Vcan",3114.56936143639,-1.08678573710338,0.162769813318986,43.5748077728753,4.08058375953472e-11,1.13456230804318e-08
"Uap1l2",27.6637861872541,-8.16176879144535,1.3741866271673,43.5087135539882,4.22075794916828e-11,1.15096822536935e-08
"Poll",442.962143485198,1.11803945128174,0.169350753946232,42.9215870045398,5.69784484978657e-11,1.52444226358441e-08
"Sh2d4a",135.121846069888,1.90074471139509,0.287385280402615,42.8458958767742,5.9226207474612e-11,1.55523633701852e-08
"Bcl3",411.25451504627,-2.19154592431273,0.327883300675901,40.9169728302112,1.58835679404001e-10,4.09507260717952e-08
"Axin2",105.899878816472,2.24478028079076,0.35066159877505,40.6519670278003,1.81904039689626e-10,4.60607014785518e-08
"Ptges",180.82485841138,-1.69252561786136,0.262717656891401,40.571289180111,1.89571775214543e-10,4.71601363603899e-08
"Adgrg1",359.030404576598,-3.36451618946277,0.492656233121714,39.6983696121721,2.96372816771611e-10,7.1241157435469e-08
"Micb",62.573584769155,-4.17645911678702,0.637425606664337,39.6980621093267,2.96419484392995e-10,7.1241157435469e-08
"Hmgb2",1429.84813789485,-3.38284079694519,0.487070258641827,39.5300103485798,3.23056426278509e-10,7.63490020771544e-08
"Epb41l3",656.164889972096,-1.49596759127778,0.234474343852659,39.2131766539215,3.79967266733223e-10,8.80656067235563e-08
"Hey2",85.5568793363836,2.0791666992422,0.328720304077061,39.1872112443596,3.85054133770133e-10,8.80656067235563e-08
"Wscd2",777.291785736485,1.71602952033375,0.268825196501726,38.7987954006531,4.69817695136711e-10,1.05746268524422e-07
"Marchf3",492.433527275327,-1.25993210763167,0.200698433944015,38.5082306578768,5.45232599972384e-10,1.20803097931381e-07
"Crot",538.617001299062,-1.20112954625204,0.193809921182007,37.6506337416316,8.46191811758178e-10,1.84599998318938e-07
"Cilp2",192.24421636897,2.29162693670132,0.362575440359165,37.330611650876,9.97072037225083e-10,2.14219416482601e-07
"LOC685025",151.009517290699,-2.43788536056835,0.382940797653743,37.1280375573046,1.10621664194766e-09,2.3412167138534e-07
"Meox2",1213.31706685173,-0.976297829675727,0.158939457893826,37.0879533464363,1.12919179976753e-09,2.35469701775053e-07
"Gprc5b",147.657440616927,-1.72904910181018,0.280071036850035,36.9598924919246,1.20584334087215e-09,2.47809544544451e-07
"Eps8l2",500.638464359227,1.58218213154546,0.257498635042876,36.8068287251084,1.30432586943792e-09,2.6421915469471e-07
"Ramp3",669.787159075261,-1.2281918393132,0.200665022968127,36.5332782154223,1.50081954155601e-09,2.99741142243158e-07
"En1",61.5679587407355,-2.50643413324678,0.410101725826015,36.34613374533,1.65206609949696e-09,3.25365240150929e-07
"Cacng7",65.0288355070568,2.6969117297823,0.447296352403114,36.2001633621426,1.78055629200395e-09,3.45866961926247e-07
"Kcna6",272.684136344079,1.46215250149469,0.243569548981831,35.5584018020101,2.47517153216741e-09,4.74296382785593e-07
"Wnt5b",166.361001249732,1.71155719741464,0.284402111901977,34.970630120718,3.34716147201723e-09,6.32836662309391e-07
"Mafb",139.514349507215,-1.67848061904391,0.280517212026159,34.7839091995831,3.68405764224345e-09,6.87367596934369e-07
"Nnat",2444.70766941833,1.26107823285109,0.210154124796049,34.7343474046519,3.77904933448998e-09,6.95934020299583e-07
"Emilin2",290.095037925396,-1.76166161638033,0.290316353558324,34.6249332970051,3.99753114760797e-09,7.26730662475397e-07
"Birc3",200.99703405815,-1.52678155573799,0.256533460784831,34.5098532056165,4.24099046737597e-09,7.61230947182168e-07
"Amz1",105.661628271547,-2.41502539723412,0.401816989202033,33.6942754948149,6.44901886084843e-09,1.14308859308538e-06
"Gda",765.083084271453,-2.00147397420427,0.333687797124345,33.602428555716,6.76082637776726e-09,1.18356195107086e-06
"Lgr5",177.540720148634,-2.2463308463795,0.372427566719293,33.4806114783564,7.19779439811525e-09,1.24469176299115e-06
"Osmr",2810.02395171023,-1.10001091836046,0.187549710299995,33.4306515051492,7.38508309625992e-09,1.26169250969838e-06
