"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sema3e",1364.16000092729,-2.18360809221632,0.135077944231985,245.120326222986,3.0081107002821e-55,2.74817682503759e-51
"Rtl3",594.18340342652,-7.99035422566332,0.583683141376428,244.569423685339,3.96648166996838e-55,2.74817682503759e-51
"Zim1",168.80039197589,-7.69479979418977,0.73342110272112,224.522114762899,9.33339227489606e-51,4.31109389177449e-47
"Svep1",1451.12892298661,1.85036227611549,0.123484605849577,214.271958230823,1.60653108158665e-48,5.56542529938655e-45
"Eln",35120.6923870599,-6.90504943498885,0.365438597624133,209.803939217207,1.515796164898e-47,4.20087749139831e-44
"Peg3",6314.5285928919,-5.26369340069044,0.321393932287173,187.924934133464,9.0216478552286e-43,2.08354957216505e-39
"Peg10",427.567606994566,-2.27765833189294,0.168008877978026,178.39706013149,1.0849646667926e-40,2.14776505539216e-37
"Hmgn1",278.257357638418,-9.14500061839663,0.946209658132262,157.086174001415,4.90139600188336e-36,8.48983054976221e-33
"Prdm8",647.495444581983,3.90008029669607,0.290425270604568,149.039703689011,2.81100751328331e-34,4.32801456795187e-31
"Pou3f3",130.226852989437,-4.51803632703503,0.389671499018581,146.644095254954,9.38716385423745e-34,1.30077929528168e-30
"Bhlhe40",1765.87584792509,1.61688128448696,0.13445369428769,138.88264495008,4.67261749850782e-32,5.88622369789298e-29
"Car3",190.234578704738,-5.18975646569279,0.43428626220103,130.785223648048,2.75899417629175e-30,3.1859485250729e-27
"Wscd2",596.969961253296,-6.11835592271087,0.47154379577526,129.888999564817,4.33345653180974e-30,4.61913132009905e-27
"Scarf1",283.921059008894,4.64712469586507,0.384153398882493,124.365283893972,7.00789661267696e-29,6.93631595441891e-26
"Mest",2227.22563896801,-5.37109375422587,0.411188458617843,121.944267328763,2.37414352375548e-28,2.19323378724531e-25
"Pcdh10",161.160822961659,-5.12451573533948,0.47395090306406,120.216071333516,5.67322733939261e-28,4.91336945262272e-25
"Col9a3",996.303384664379,-5.77146241675751,0.522533511447871,117.815086607674,1.90330110864577e-27,1.55141432132379e-24
"Epha4",125.776229622071,-3.43280267215938,0.316208756044571,116.174697893752,4.35219259774049e-27,3.35046293482722e-24
"Hexb",3729.39862071591,1.76176218138154,0.160953436268485,112.995705842705,2.16242677000106e-26,1.57709198694235e-23
"F3",10025.7509376464,1.94502818903546,0.178508922099843,110.273557342658,8.5359691220786e-26,5.91414620623216e-23
"Plagl1",1055.53939091769,-6.12301143634641,0.531037230476101,96.0673759371009,1.1103956547146e-22,7.32702504160962e-20
"Cpeb1",203.832857139293,2.18960750855659,0.222808318183759,93.6846890338048,3.70012119260706e-22,2.33057178936164e-19
"Slitrk5",253.958783817333,-4.36801399894363,0.416994963908055,91.968048529295,8.80873039130731e-22,5.30706856662371e-19
"Kcna6",200.258640461528,-4.50371160524,0.458343856528935,91.5725091286082,1.07577183207648e-21,6.21123761545155e-19
"Limch1",425.771926871282,-3.2462344376049,0.317947701417163,91.1598386651011,1.32522867211558e-21,7.34547748380223e-19
"Cthrc1",505.087549613476,-3.62168377247635,0.348530960517483,89.2685458327952,3.44696308038975e-21,1.83709874634464e-18
"Nkd1",147.527681307823,-2.51588800118299,0.27062430988679,83.3424597648305,6.90014989149431e-20,3.54131026097913e-17
"Itm2a",1188.83169017184,-4.07456198400654,0.393396955442366,82.2703258637586,1.18690744674424e-19,5.87392017483392e-17
