gene_id,gene_symbol,WKY_Joint_5d_A,WKY_Joint_5d_B,WKY_Joint_5d_C,WKY_Joint_3m_A,WKY_Joint_3m_B,WKY_Joint_3m_C,SHR_Joint_5d_A,SHR_Joint_5d_B,SHR_Joint_5d_C,SHR_Joint_3m_A,SHR_Joint_3m_B,SHR_Joint_3m_C
24153,A2m,211.3,90.91,258.91,93.99,169.06,64.27,70.97,54.19,585.99,77.98,10,9.59
24157,Acaa1a,621,768,341,1033,795,348,424,435,144,428,330,280
24158,Acadm,733,770,294,874,752,371,568,660,243,757,548,459
24159,Acly,3386,2901,3163,2519,2847,2934,3993,4065,5381,2951,3218,4877
24161,Acp1,1457,927,690,1197,1237,566,1040,1152,807,1091,844,623
24162,Acp2,1411,1606,1397,1750,1628,2114,1604,1639,1457,1931,1719,2878
24165,Ada,404,116,164,132,177,174,133,159,196,273,99,248
24166,Adcyap1,0,0,0,0,0,0,1,2,0,0,3,1
24167,Adcyap1r1,0,3,1,9,3,1,1,1,0,4,1,2
24170,Add1,7767,6592,6696,5841,5382,5166,6015,6302,5484,5693,5783,5529
24171,Add2,2,0,0,1,0,0,1,1,2,3,2,0
24172,Adh1,1,2,0,1,3,1,3,0,0,0,1,9
24173,Adra1b,46,82,10,43,65,48,79,98,21,27,30,73
24174,Adra2b,6,5,0,3,0,0,0,0,0,1,1,0
24176,Adrb2,67,52,46,81,81,74,180,193,111,76,230,125
24179,Agt,1,11,58,9,7,47,10,5,3,8,7,111
24180,Agtr1a,492,1033,94,722,277,92,258,251,9,355,144,107
24182,Agtr2,860,4457,151,1,0,3,667,638,154,0,0,3
24183,Ak1,1562.83,790,1659.82,1699.63,1326.41,1467.47,1081.4,1128.4,1256.04,1737.94,1266.02,1575.56
24184,Ak2,4658,1907,1904,1565,2163,1335,1859,2160,2352,1822,1357,1144
24185,Akt1,10991,7304,6555,6080,6825,7294,7538,8081,8772,6973,6248,8072
24188,Aldh1a1,0,1,0,1,1,0,0,0,0,0,1,0
24189,Aldoa,28737,16648,23619,29075,25270,32370,16925,18250,21470,24186,18243,40579
24191,Aldoc,275,473,120,806,560,663,429,459,103,368,140,919
24192,Akr1b1,3559,3088,2674,3467,3372,2696,3298,3702,2056,4119,3243,3080
24205,Apc,751,1098,1412,763,783,1798,1182,1008,1618,794,1052,1464
24206,Apeh,1043,783,801,1247,1144,985,751,852,752,1020,761,1011
24207,Apoc3,2,3,2,0,1,2,3,4,2,5,9,3
24208,Ar,3,2,9,37,37,64,3,2,3,8,2,19
24209,Ascl2,1,7,1,1,9,7,2,5,1,6,5,7
24210,Asgr1,2,3,0,24,4,10,2,0,0,14,5,30
24211,Atp1a1,13594,6961,12523,12564,11684,11436,8382,8688,13011,12586,11390,10958
24212,Atp1a2,1,49,6,7,0,1,1,2,2,0,1,0
24213,Atp1a3,47,1,0,0,0,1,0,0,4,0,0,1
24214,Atp1b2,7,8,12,11,14,29,16,17,13,5,5,16
24218,Atp7b,16,13,21,21,22,33,12,12,35,18,10,34
24221,Avp,1,0,0,0,0,0,0,0,0,0,0,0
24223,B2m,7103,9516,12489,12151,10317,7164,7520,7932,4051,10679,8031,9317
24224,Bcl2,17,47,46,23,9,30,34,32,53,32,54,37
24225,Bdnf,116,254,121,255,181,126,407,357,98,377,945,266
24230,Tspo,2132,1841,402,3867,2841,719,1767,1788,272,2795,1325,835
24231,C2,110,421,163,1377,939,500,328,345,66,1154,186,578
24232,C3,151,6171,3714,27760,26059,9873,1439,1748,7,10824,1459,955
24233,C4a,27.26,593.43,49.54,573.02,500.54,206.02,69.15,106.11,5.17,131.51,18.81,44.8
24235,C4bpa,3,40,1,79,106,76,2,4,0,7,2,3
24236,C4bpb,0,0,0,0,0,0,2,0,0,0,0,3
24237,C6,4,20,2,299,311,71,7,1,0,68,10,6
24239,Cacna1c,433.26,281.82,301,133,129,214,410,372,232.93,225,324.29,114
24240,Cad,1355,834,2385,668,913,1731,1004,1094,3373,1008,1295,1407
24242,Calm1,15052,5968,8582,6113,7785,9696,9018,9185,8880,8706,9624,9715
24244,Calm3,1245,956,829,960,1334,916,863,820,666,1052,675,956
24245,Camk2b,12,18,39,23,31,27,20,19,36,33,29,31
24246,Camk2d,2061,1570,3628,1958,1848,4525,1723,1673,2609,2027,2154,3969
24248,Cat,1301,2506,3155,3353,2064,2095,2154,2193,1729,1958,1425,1651
24249,S100g,0,0,1,1,1,0,1,0,0,1,8,0
24250,Cbs,0,0,0,50,50,27,0,4,0,11,4,2
24251,Cd53,68,0,2,11,2,0,0,1,3,2,1,4
24252,Cebpa,310,462,334,221,111,142,227,268,248,125,128,110
24253,Cebpb,2196,3111,2574,5779,4735,12371,1713,2078,1620,3835,2123,12587
24254,Cel,4,4,3,4,3,11,5,1,4,4,10,3
24255,Cftr,1,1,5,0,1,0,1,1,6,1,0,0
24259,Chgb,0,0,0,0,0,0,0,1,0,1,2,0
24260,Chrm3,0,0,2,0,0,0,1,0,0,0,0,0
24261,Chrnb1,6,15,45,60,50,26,10,9,32,39,19,27
24264,Ckb,580,623,712,288,486,1173,1152,1098,744,952,1261,2703
24265,Ckm,0,0,0,2,0,1,0,0,0,0,0,0
24267,Comt,2160,1781,1556,2739,2127,2408,1562,1654,1403,2298,1487,3445
24268,Cp,73,998,402,3294,3975,1875,505,481,104,2087,1006,1110
24269,Cpa1,1,2,4,0,0,0,2,6,33,0,0,0
24271,Cpb1,0,0,0,0,0,1,0,0,0,0,1,0
24291,Ctrb1,3,2,5,7,10,2,11,11,14,16,13,9
24294,Cyp11b2,34.29,0,1,0,0,0,0,1,0,2,8,0
24296,Cyp1a1,0,1,3,2,1,0,0,3,14,0,0,1
24298,Cyp21a1,0,0,0,0,2,1,0,1,1,1,1,0
24299,Cyp2a3,0,0,0,0,0,0,0,1,0,0,0,0
24300,Cyp2b1,0,0,0,3,1,0,0,0,0,0,0,0
