"","WKY_Joint_3m_A","WKY_Joint_3m_B","WKY_Joint_3m_C","SHR_Joint_3m_A","SHR_Joint_3m_B","SHR_Joint_3m_C"
"A2m",5.86140265465747,6.30850647386917,6.11715959143385,5.73345510801988,4.83556553976603,5.25230529672242
"Acaa1a",9.29976798968763,9.04081855783534,8.91094651644547,8.54095146789986,8.42378162332687,8.74171330292937
"Acadm",9.30144605678163,9.15100403876061,9.07853032120251,9.18261881007061,9.00340588650815,9.24070707485799
"Acly",11.5345717311338,11.6174506804041,11.4425163859611,11.6731481566396,11.8439939847842,11.8920658905197
"Acp1",9.78144832035532,9.79046381660559,9.67922373923883,9.70680937636586,9.58203351988446,9.75115377736678
"Acp2",10.9710764028346,10.8924708026328,10.8590614497123,11.0603635079919,11.0563088068451,11.13104831044
"Ada",7.32935439562253,7.52482596115996,7.35110825334127,7.89064490400497,7.21605187459223,7.62933031434857
"Adcyap1",-0.592824920262256,-0.592885076414856,-0.584737054210855,-0.592804821558772,-0.49387865806531,-0.551459683939742
"Adcyap1r1",1.75414479362427,1.59451164255079,1.61270693556395,1.62570983008184,1.54147373639373,1.64521306576137
"Add1",12.4351054321739,12.3453775809683,12.4051357001955,12.4193725428357,12.5303009374364,12.4599425465117
"Add2",-0.0718605006335162,-0.102654770196761,-0.0557603117939601,-0.0131261364301875,-0.0354374270195087,-0.0557791053460267
"Adh1",1.24625410788661,1.30584250760154,1.1353882075035,1.21376845374425,1.25091933682462,1.37300399552501
"Adra1b",5.58440462954226,5.80972106939638,5.42691544931638,5.36531592598233,5.46417417667321,5.68489245148071
"Adra2b",-0.289990123091396,-0.37869422570369,-0.340181629074406,-0.347759711118436,-0.344313269494888,-0.340197035629799
"Adrb2",6.47676246237317,6.46211256910542,6.50314042988694,6.44104819963261,7.35457012714996,6.86410624924364
"Agt",4.69806879125131,4.63274090874348,4.35337656160731,4.67094945888735,4.67079389192155,4.98289996379454
"Agtr1a",8.36783377038552,7.49877362101016,7.62910088367931,7.73145979674561,7.10496920767775,7.72241731423022
"Agtr2",0.244706643461936,0.213797030618586,0.221918962122722,0.213932063238748,0.214458689277284,0.221528251175555
"Ak1",10.6437538239058,10.4146188850264,10.5268566436675,10.6694733531723,10.4941680364005,10.584150405585
"Ak2",10.4417725626263,10.7025744798515,10.6015294960867,10.5791558501125,10.4217549907735,10.4710994455951
"Akt1",12.6926063616522,12.7710663416926,12.7313751662461,12.8153603927979,12.8168543883052,12.8165685759779
"Aldh1a1",-1.02565031804433,-1.02628703489157,-1.03278345756996,-1.0562169490947,-1.0231271519944,-1.03285726944254
"Aldoa",14.9581707507136,14.8181224919419,14.7110239552963,14.8065274298349,14.6644735941775,14.9126231780376
"Aldoc",9.64371255704525,9.30966226070816,8.94492625897379,8.99642264991754,8.40794631827165,9.23394563399752
"Akr1b1",11.6210741369991,11.5777025183061,11.6063884706474,11.7780742687473,11.6663328427109,11.7152034127343
"Apc",10.0417615075455,10.0442742757582,10.2386488573291,10.0794051662741,10.4056628806001,10.0469030577599
"Apeh",10.130356789718,10.036327516674,9.97721066426156,9.96447339382388,9.81411563535339,9.99542600352307
"Apoc3",1.57422990475182,1.60552907658943,1.67358619613721,1.72518506254337,1.85279229711926,1.70528197436473
"Ar",4.93959990609048,4.92782106900934,4.94713635712585,4.38703169505436,4.2272358396641,4.29370789778328
"Ascl2",2.4027106651987,2.61375402633735,2.52432286159468,2.54489064534068,2.53421878106973,2.52346419737855
"Asgr1",4.02832201131978,3.58173283017193,3.56931084425136,3.83627534900636,3.63336903083594,3.97053876641565
"Atp1a1",13.5241861733341,13.4418087329773,13.5307197557319,13.532241060276,13.5424271961171,13.4896118256203
"Atp1a2",0.580979844285426,0.376225047722186,0.454217058434314,0.376401614884271,0.413009790444215,0.419091090233735
"Atp1a3",-1.48661576798809,-1.4868788584998,-1.48628738774141,-1.48652886232205,-1.48523451170535,-1.48634161251624
"Atp1b2",3.75508487390761,3.81559770875121,3.82284054758387,3.60391530036944,3.62248365832589,3.5757002230932
"Atp7b",4.58022130026969,4.58928922947949,4.51447054945272,4.52693996576994,4.3869221956705,4.5272157961421
"Avp",0,0,0,0,0,0
"B2m",13.3104730190042,13.1467971946692,13.0690015331585,13.2032583817192,13.0530898660497,13.2878076975626
"Bcl2",4.80508988038263,4.5135160585893,4.84209772025274,4.95404631602863,5.30326575763681,4.94586128606594
"Bdnf",7.80153469972895,7.53017139964018,7.85906867721209,8.12396356865708,9.06277269248738,8.40015250304471
"Tspo",10.9781542007386,10.6691177055199,10.5609236781992,10.6817565471622,10.1271397752017,10.667160436112
"C2",9.86495671454312,9.49824456752,9.30658282219747,9.70937395890316,8.38115458473016,9.42028209065075
"C3",13.627286694412,13.5412640018603,13.6352853442179,12.7327459679167,11.2994171440756,11.9650715599144
"C4a",8.17137793113638,8.02129618395813,7.78693087394294,6.91990925532698,5.94384937974255,6.74128550113908
"C4bpa",5.48905162693408,5.69443474117883,5.57891128716741,4.37753071868652,4.23500455341909,4.31909953294185
