"","WKY_Joint_5d_A","WKY_Joint_5d_B","WKY_Joint_5d_C","SHR_Joint_5d_A","SHR_Joint_5d_B","SHR_Joint_5d_C"
"A2m",8.11970687866674,7.51252035815054,7.14942212335156,7.36041800563124,7.2064648404085,7.95013291807696
"Acaa1a",8.68184879274811,8.8877547638654,8.87744859616949,8.38004866889608,8.38931353474096,8.29203428395579
"Acadm",8.92113846995722,8.98148440657268,8.9161235496235,8.72366672958895,8.83926312174433,8.8166528143081
"Acly",11.8558412243059,11.7433597715722,11.6487777468202,12.0182781680537,12.0213774658973,12.1706505680943
"Acp1",10.1112949527966,9.73727077655606,9.81365977084454,9.83871830778366,9.91413253120516,9.98704851332618
"Acp2",10.4689176775268,10.5948820736459,10.5251078890696,10.5985082570087,10.6047636296614,10.6084279298518
"Ada",8.15461648953648,7.1952206516941,7.42243783811439,7.29213778226839,7.40902831273915,7.60306378000467
"Adcyap1",-1.06467764751266,-1.06464757889197,-1.0437530609055,-1.03566200787738,-1.0084147495155,-1.04294793099326
"Adcyap1r1",-0.100810653937254,-0.015474444314245,-0.0486628948339298,-0.0711448803647668,-0.071558367973343,-0.0808312784608747
"Add1",12.7787834009128,12.6523890289396,12.7170579382963,12.5784931318838,12.6060546853628,12.5908021852532
"Add2",0.0145001142912652,-0.0425395687091902,-0.0469954515879173,-0.0128313616912043,-0.0132477482113884,0.0199361694276584
"Adh1",-0.116001725017514,-0.0870836746797794,-0.101909916377905,-0.0593127581071657,-0.144864869156635,-0.101721597102642
"Adra1b",5.17062621530011,5.53802912508759,5.34196977738285,5.51648165819824,5.65614272544089,5.59867008463057
"Adra2b",0.784104295974119,0.762041167122697,0.698731343902304,0.624752720167167,0.624676482206018,0.699055988832697
"Adrb2",6.22603309880545,6.09223099463596,6.25979847294225,6.9394483845909,6.98415641478175,6.86113597346478
"Agt",3.38556568761774,3.69583313225963,4.099932136108,3.67088811567384,3.52231026879485,3.03736646606503
"Agtr1a",7.65085630509314,8.37749674199396,8.00436073866163,7.11337258366079,7.07929137212274,7.10614776277369
