"","WKY_Joint_5d_A","WKY_Joint_5d_B","WKY_Joint_5d_C","WKY_Joint_3m_A","WKY_Joint_3m_B","WKY_Joint_3m_C","SHR_Joint_5d_A","SHR_Joint_5d_B","SHR_Joint_5d_C","SHR_Joint_3m_A","SHR_Joint_3m_B","SHR_Joint_3m_C"
"A2m",7.42303071227214,6.69910164941112,7.28541000569416,6.73818299839964,7.22444769308649,6.0576139509188,6.51038560769024,6.3061041723611,8.16271668151006,6.58974715505655,5.49699354262298,4.98825612732711
"Acaa1a",8.7356094253793,8.95960808346317,8.89849363807862,9.26498917726173,8.97599149718814,8.91059280424441,8.41799057101851,8.4248247286504,8.23773398181909,8.43295841746368,8.30001099629487,8.70917102421779
"Acadm",9.00638603965954,9.07459038084077,8.8916084649331,9.20974597819471,9.03577709204152,9.08235711087756,8.80293897427665,8.92406240369512,8.7750051804706,9.07583369311741,8.87686464453411,9.25412884689865
"Acly",11.8053387994717,11.685157912773,11.5711766135575,11.5719710768952,11.652224979481,11.4954830178932,11.9917413712123,11.9916691561139,12.1279622797818,11.7174122659919,11.898595455464,11.9624335974689
"Acp1",10.0254762313525,9.62271127495053,9.82625631781017,9.874737461247,9.87469267612041,9.64721906538554,9.73882540854701,9.81760575992297,10.0098201767859,9.79033052143842,9.65388040465965,9.71583430913758
"Acp2",10.6022938698222,10.740525405341,10.5012338317606,10.8336939767843,10.7368841037658,10.8825650504973,10.7494444919877,10.752772879615,10.5825365693458,10.9283001807999,10.9218869873096,11.1665654961092
"Ada",8.23812687960421,7.1752227978493,7.35229453219797,7.28864385383975,7.50199904104407,7.39720111848609,7.29117501636959,7.42150000178413,7.54683686098946,7.91295998870926,7.15261515382394,7.6947888548386
"Adcyap1",-0.867678786662617,-0.867606700398181,-0.845114249056071,-0.867558634444337,-0.867661094657594,-0.845136250896464,-0.821475025404855,-0.779290499415246,-0.844953196124767,-0.867549122478444,-0.723391232314799,-0.795901851810734
"Adcyap1r1",0.857591644765659,0.994923671552052,0.979995688808696,1.22004449417054,0.992782594552551,0.9796269845303,0.906682577376838,0.90573841517843,0.927601389161387,1.03885067735328,0.913127445576022,1.0276466977623
"Add1",12.7272239831365,12.5942513669516,12.6912041295091,12.4955060593141,12.3901479756993,12.4416036803504,12.5187551888599,12.5455131655808,12.5467506347467,12.474527877502,12.5913285794311,12.4890686536315
"Add2",-0.0217402187147524,-0.108892182945133,-0.0772079059276508,-0.0625042333882647,-0.108984743068947,-0.0772453367164849,-0.0627001816417567,-0.0635018651304473,0.0246148872253024,0.0231710280365143,-0.00920553610450803,-0.0773406110598143
"Adh1",0.662452056884044,0.710385877114895,0.569194893836358,0.664451654535222,0.752512275691927,0.623206340718201,0.756029417255066,0.61408730120912,0.56971402453102,0.614343490140144,0.670578896415667,0.960305225537463
"Adra1b",5.33404502039923,5.76989065663111,4.91712366130535,5.31516744155904,5.58019356047674,5.7277059097742,5.74929374328635,5.90660600201259,5.25618013213067,5.03570573400177,5.16065799174828,6.02477037184733
"Adra2b",0.377353610947934,0.34443990055915,0.214887563020874,0.265483086204908,0.125377602610607,0.214836439374045,0.12558436519955,0.125453998429929,0.215261565460596,0.175048410376828,0.18064272553884,0.214706282078357
