"","SHR_Joint_5d_A","SHR_Joint_5d_B","SHR_Joint_5d_C","SHR_Joint_3m_A","SHR_Joint_3m_B","SHR_Joint_3m_C"
"A2m",6.44411108850522,6.24841822003607,7.71705401652787,6.52083480629512,5.48931964740156,4.63428786459111
"Acaa1a",8.26834701532574,8.27608429699271,8.02031552862121,8.28286902112233,8.15401697569415,8.47034312594625
"Acadm",8.80969858076624,8.92619752551192,8.69681062345687,9.07019208407941,8.88013774907139,9.14630234625761
"Acly",12.1152777530181,12.1163170058715,12.1091107562845,11.8644488799045,12.0288734392731,11.9533477827492
"Acp1",9.76907276627052,9.84549435591264,9.9209355525656,9.81830417867166,9.68815696169954,9.63957857871158
"Acp2",10.7857747249568,10.7899995756213,10.5927339969646,10.9551305831881,10.9491228410855,11.1472798654612
"Ada",7.37227442202022,7.49088741250505,7.44592204089229,7.94159532234556,7.24862543994598,7.58076925751611
"Adcyap1",0.167339519873891,0.194555133282913,0.167432012783492,0.138269648920209,0.231761177810101,0.198530727160066
"Adcyap1r1",0.495363000621697,0.494865157160769,0.486085842486987,0.577432319937555,0.499033747194561,0.547261269970304
"Add1",12.4817938774303,12.508681552995,12.5244662400761,12.4392579947454,12.5517657379008,12.4662833414596
"Add2",0.541901762260856,0.541400091067016,0.597455623212289,0.597809465809322,0.576673865388336,0.531436969050477
"Adh1",1.07220918810512,0.980816980190892,0.880204617667305,0.98098988408622,1.01672056477525,1.14516369091144
"Adra1b",5.8336425067802,5.97219215752233,5.27708158799817,5.23890393318599,5.33922448048365,5.91489995098792
"Adra2b",-1.5015355191017,-1.50171355443984,-1.49019652658685,-1.48012836345281,-1.47896013756037,-1.4909722606905
"Adrb2",7.21346088184551,7.25550273386759,7.1304309028276,6.61087272428483,7.50877410468164,7.16387431951219
"Agt",4.06006946867343,3.89068074377252,3.15824389108118,3.99946096420459,3.99610426114789,4.81491382781804
"Agtr1a",7.03164997292499,6.99383827654589,6.45185762043243,7.32027181009078,6.64773340395438,7.54488911132559
"Agtr2",7.96880463611983,7.90507552486631,7.24090960365496,4.51374731069944,4.53933523199846,5.22257174818706
"Ak1",10.2194596243918,10.2414003557033,10.3214930913179,10.6441399685902,10.4579169287798,10.4599653474147
"Ak2",10.7745518358506,10.894541383236,11.1110800121038,10.7632400992695,10.6009913736008,10.4055823338746
"Akt1",12.937538722634,12.9849034547002,12.9899148389632,12.8749354143049,12.8747321102779,12.8461400119953
"Aldh1a1",-1.97333668440903,-1.9734344760679,-1.97003718941681,-1.97329336414833,-1.96093642705733,-1.97046328642448
"Aldoa",14.383476396717,14.4340517915306,14.2525694520959,14.705141421825,14.550696528289,14.7841136170849
"Aldoc",8.59478177230262,8.63938438290801,7.49901375907727,8.46900814263542,7.8024922282428,9.25381950396716
"Akr1b1",11.4950800023111,11.5839944772075,11.4474760564524,11.7035888740897,11.5851304035531,11.7364208221283
"Apc",10.3720974871607,10.2199166707703,10.3312761366785,10.040586959206,10.3724839567517,10.1712664002659
"Apeh",9.62581201311078,9.7189155292622,9.64631411735421,9.89776893799834,9.73679787707119,9.84333306136704
"Apoc3",2.00852398183519,2.03374933538208,2.05955085015221,2.0626517526857,2.18306678594593,2.08444507777224
"Ar",2.50653433570936,2.47570451925118,2.33495591709051,2.6421824460294,2.48566943525089,2.72008945102991
"Ascl2",2.00230496465848,2.07980890319602,1.98940040674175,2.10788751528835,2.0971480663016,2.15417431798047
"Asgr1",2.74372062376207,2.67435975813246,2.46913659174227,3.0719973428553,2.85630522685783,3.20405488406155
"Atp1a1",13.2292495644146,13.2457686016994,13.5323377299355,13.5971234808567,13.6060036415938,13.3067349143468
"Atp1a2",-0.0122859877404492,0.0149485519020112,0.0210514182369398,-0.0413800961443191,-0.00876725768294715,-0.0447938130697919
"Atp1a3",-0.221195771540018,-0.221240552381931,-0.173396722654266,-0.221175743719777,-0.220865035334131,-0.268841828833663
"Atp1b2",3.66630815764557,3.68040217935968,3.52876436021489,3.41881741595137,3.43553107689887,3.57176505471287
"Atp7b",4.30605133606063,4.30141236301257,4.35846697369244,4.43265053445712,4.29080640496952,4.30699334555749
"Avp",0,0,0,0,0,0
"B2m",12.7286983381733,12.761441662219,12.5257643487058,13.0558869157104,12.8936365895657,13.1940674041283
"Bcl2",5.27345824263042,5.23698719886305,5.45869553841894,5.2483370445596,5.58854622184575,5.21496881553047
"Bdnf",8.11997130909338,7.99466531212182,7.96265954879329,8.06090397870624,9.00391569682959,8.62706859958222
"Tspo",10.0062346408247,10.0017293323058,9.686148269331,10.4497359365439,9.84987650646289,10.4676399387376
"C2",8.10006245324147,8.12835157073711,7.51695349107052,9.26335989245095,7.74211413889432,9.0999905365914
"C3",9.44916383731021,9.61104888781659,9.0397300768753,11.4838856332785,9.56775891207971,11.0161985583672
"C4a",5.47670478530734,5.76906113055522,5.13979193382136,5.95046882553257,4.83308037964606,5.87486562669923
"C4bpa",1.44479716103719,1.49674180781957,1.44667723634918,1.57365836069685,1.45188183632643,1.53686234659084
"C4bpb",-0.278854355690615,-0.335971938693526,-0.366744111416244,-0.335912101296392,-0.335625187184317,-0.276437680016182
"C6",3.06774293780929,2.85835261027125,3.19020747008275,4.09809646574141,3.18975478444813,3.41676592905229
"Cacna1c",8.1239905671651,8.02498204070624,8.24119738595325,7.63084177747197,8.0208433463022,7.6591314798695
"Cad",10.4648321861039,10.5227175182786,11.0103808334919,10.4743100652469,10.7839777243057,10.1125379134756
"Calm1",13.1387806947796,13.1402518024228,13.1662284331673,13.1141142880973,13.3029068972877,13.1817984081264
"Calm3",9.68881992394875,9.63018915066563,9.56562986355598,9.87000635118104,9.57829233536718,9.81802401702532
"Camk2b",4.72098291028452,4.69674069313979,4.8740554188144,4.93304075130006,4.92349063351793,4.76307207530676
"Camk2d",11.1348584000651,11.0959536546953,11.0722342526864,11.2807749702189,11.4311027518187,11.3991106357126
"Cat",10.9123458421524,10.9134770484122,10.8801997862126,10.8333155089293,10.6505446410401,10.7746417340544
"S100g",0.581149989701481,0.549260664144986,0.627500622199449,0.581397333116195,0.797274278180982,0.627040510372372
"Cbs",1.52457408632164,1.63963899093897,1.62624942279453,1.81474558033666,1.65449418948372,1.69047700074596
"Cd53",0.858422453490544,0.887103849036257,0.877290355968332,0.916269621963893,0.891458843262263,0.899337027908146
"Cebpa",7.62035092817952,7.74388539649543,7.79518758995155,7.17087305360043,7.26725545645645,7.10599482741437
"Cebpb",11.3826712608555,11.5278315143684,10.7275026820099,12.0885971104119,11.6592885747923,12.6016915482042
"Cel",2.13731956420593,2.02571406224905,2.15856128504344,2.11175730874894,2.28396941789182,2.12081889150443
"Cftr",0.574860074249793,0.574330458035956,0.663573272508731,0.575096830634525,0.544725987470062,0.470933402686437
"Chgb",-0.653522391206599,-0.624934879688311,-0.623138108458712,-0.624270453531413,-0.590152082624384,-0.623301795066641
"Chrm3",-1.96248844200724,-1.97305182812556,-1.97001392749359,-1.97292564389865,-1.97235183959823,-1.97039494932125
"Chrnb1",4.2908184354293,4.26329798572784,4.52630668167071,4.79719749344189,4.52227586726195,4.41048820925978
"Ckb",10.3047531508401,10.248820069515,9.74357674170541,10.1478979223741,10.4878419662915,10.8510798128049
"Ckm",0,0,0,0,0,0
"Comt",10.8122453478109,10.847110807655,10.5437105557729,11.1602163049406,10.8706814998962,11.3014164243785
"Cp",8.79398450803581,8.74047918350523,8.40786405422217,10.1047769712055,9.50408875993426,10.1638006571182
"Cpa1",2.43606663112045,2.56933916353208,2.87772575636709,2.35897678423899,2.36209731672798,1.98551419144266
"Cpb1",-1.97333668440903,-1.9734344760679,-1.97003718941681,-1.97329336414833,-1.96093642705733,-1.97046328642448
"Ctrb1",3.56755433516103,3.56352979054344,3.67912961398455,3.67223684025124,3.64251530403236,3.54378852100948
"Cyp11b2",0.680203309311779,0.711003989694769,0.764767860629873,0.742189037330318,0.924692551120261,0.76427658309869
"Cyp1a1",1.44514058725698,1.54132622204074,1.66564321261447,1.44522279330174,1.44649480780249,1.27344899258651
"Cyp21a1",-0.612719235218169,-0.584098536051325,-0.573330520675067,-0.583432380930097,-0.580243726779169,-0.606916418814313
"Cyp2a3",-1.97291433037752,-1.96269081076754,-1.97001073072517,-1.97287620796964,-1.97231151589909,-1.97038570178172
