"","WKY_Joint_5d_A","WKY_Joint_5d_B","WKY_Joint_5d_C","WKY_Joint_3m_A","WKY_Joint_3m_B","WKY_Joint_3m_C"
"A2m",7.43259088593284,6.80281115211229,7.6148321817389,6.83240723186705,7.25548018881677,6.54681254762558
"Acaa1a",8.91261925862174,9.11649405295781,9.13272074278056,9.39371179517762,9.13100894319388,9.14419628219496
"Acadm",9.03266014690602,9.0959476466787,9.01402479280049,9.21871365618922,9.05899923014994,9.18913554716145
"Acly",11.6667906865451,11.5504448277363,11.579321706531,11.4380317703714,11.5183444444597,11.5074841580254
"Acp1",10.0021057023469,9.62167696587388,9.91673556268071,9.85433015801915,9.85818386483836,9.75141278285844
"Acp2",10.5815184760524,10.7116599926684,10.5169320858435,10.7958002974907,10.7077068759913,10.8814107352579
"Ada",8.13503362833219,7.14155202521341,7.46865649050141,7.24163173771004,7.44140450350059,7.5111544568767
"Adcyap1",0,0,0,0,0,0
"Adcyap1r1",1.24630906755147,1.35599901250701,1.37465601413834,1.54162936124132,1.35416569316609,1.37439555309461
"Add1",12.7614733080628,12.6351372822462,12.7115778582104,12.5379979271395,12.4431938847776,12.4773233429026
"Add2",-1.009668048557,-1.0775900663864,-1.05165669721826,-1.04187627974339,-1.0776890985125,-1.05175504938138
"Adh1",0.322315729675975,0.357686579168223,0.328375399521742,0.323510233115265,0.389118307033194,0.367940024974586
"Adra1b",5.26545133060662,5.65862013076814,5.06333452439233,5.24526932973393,5.48550942227522,5.76409058229962
"Adra2b",1.14512414195191,1.11945442274668,1.06890101771069,1.05797860017392,0.952951904693253,1.06885351707219
"Adrb2",5.99328030419258,5.84932289202919,5.87568189440664,6.14298276028902,6.12327576730628,6.17874896750189
"Agt",4.0774343749,4.43959237114478,4.37668504562968,4.38160198998968,4.3078513244362,4.22655498460565
"Agtr1a",8.00373000179943,8.7191702487088,8.16553300581264,8.38502170456761,7.52074175672387,8.14879885008722
"Agtr2",8.17821722148813,9.58744986680449,7.71514923711191,4.73130493173491,4.68590854258382,5.87629104419376
"Ak1",10.6177973568285,10.0687938918163,10.5296029971583,10.7218467393071,10.4790249000025,10.414128446819
"Ak2",11.5909035737074,10.7923723980324,11.1291035172544,10.6336885700101,10.8860027433729,10.822380125307
"Akt1",13.163281730509,12.8141579832053,12.8003515564209,12.6643082442698,12.7391370205199,12.8900909328311
"Aldh1a1",-1.05200771734783,-1.01654295354852,-1.02542226834391,-1.01619813902081,-1.01713851880893,-1.02552139601914
"Aldoa",14.7973806463782,14.3481623083547,14.5272673440926,14.8374323560112,14.6873167436894,14.8078786831242
"Aldoc",8.1716980960401,8.63066964483649,8.0009769798114,9.1163864455387,8.76137639129153,9.339088309042
"Akr1b1",11.6215160917674,11.5162196124118,11.5845409100316,11.6275184890891,11.5775691477225,11.5868707604638
"Apc",10.0372927749731,10.3755636814587,10.0313130659386,10.0770109116032,10.0747876685299,10.2510144523438
"Apeh",9.92355809413288,9.69985064750629,9.84861973480194,10.1100001319649,10.0080934471565,10.0221314255784
"Apoc3",0.744401049945721,0.779169108525218,0.727490403129716,0.675079809424715,0.710512270697609,0.727090716166916
"Ar",3.9771129997602,3.94079985490246,3.87487655526304,4.80664205872872,4.79011502679895,4.88245841483212
"Ascl2",1.9141799165575,2.11320320863171,1.9201186912843,1.91578171046622,2.16575317935651,2.13434031622167
"Asgr1",2.42428288529579,2.46426703634184,2.41637228605378,3.02491466800803,2.49781693945072,2.78926847849441
"Atp1a1",13.6651376208955,13.110271736014,13.5267749656288,13.6239035714724,13.5338712414681,13.4398171192962
"Atp1a2",2.46983128839622,3.62416517348909,2.92576168161648,2.72518947523237,2.4210596722731,2.6943611230789
"Atp1a3",3.00254114566157,1.7710127418537,2.01733623594771,1.71233248132005,1.71118579575109,2.08119984634549
"Atp1b2",3.65405294687561,3.68838069575813,3.55392971135074,3.7739044479745,3.84012901284892,3.92430384037785
"Atp7b",4.35667445110929,4.29499942366336,4.29232605070298,4.47475217921087,4.48234064633199,4.51205729945477
"Avp",-1.95987679886051,-1.97252179322851,-1.9693553334465,-1.97245527568723,-1.97263794294965,-1.96939057191646
"B2m",12.9622643621397,13.232325381511,13.4861993370116,13.460658972818,13.2876827785244,12.985266410485
"Bcl2",4.68648141752212,5.197907123832,4.92556998074949,4.82472988219335,4.49138091958178,4.67467969081514
"Bdnf",6.93858320271787,7.56476827022338,7.32551891450979,7.57684658373099,7.27352913485347,7.35134468125307
"Tspo",10.2442740513002,10.1326063795175,10.2271257771664,10.8374366490448,10.513823422942,10.6369444742358
"C2",7.53010243535506,8.51107699514523,8.27448381432928,9.60914111677465,9.21173706919514,9.15654499390576
"C3",10.6785384765976,12.5931829114898,12.3872505744884,14.0295702111232,13.9357573420026,13.2312738961181
"C4a",6.101470465893,8.2669311274441,7.18459661564675,8.24415961269645,8.08933297924222,8.16635047699114
"C4bpa",4.24473129388515,5.1045980872638,4.46074591210589,5.57508920022757,5.78134769847122,5.89213722781798
"C4bpb",0,0,0,0,0,0
"C6",4.32594340026379,4.81713214300385,5.0199433832877,6.87297755193784,6.8838030064097,6.42998466751989
"Cacna1c",8.44344280042004,8.08812185912433,8.02617656864829,7.51734665595732,7.47575872785089,7.73615845302801
"Cad",10.6927335950357,10.3015361838261,10.5258590906972,10.1342563607605,10.3605043315502,10.218656144889
